id;date_affectation;date_creation;statut;motif_annulation;operation
1;2020-11-12T14:53:04;2020-11-12T11:11:50;N;CSS national Specialist;66154
2;2020-11-12T19:32:40;2020-11-12T21:21:50;S;Village e-markets North Dakota;48715
3;2020-11-12T10:09:52;2020-11-12T22:55:07;S;payment systems;47904
4;2020-11-13T03:01:12;2020-11-12T03:53:49;S;innovate gold Officer;66969
5;2020-11-12T12:13:39;2020-11-12T07:56:43;S;Credit Card Account;66159
6;2020-11-12T11:35:55;2020-11-12T19:01:30;S;XSS wireless Gorgeous;17011
7;2020-11-12T09:23:01;2020-11-12T22:10:52;C;bypassing;262
8;2020-11-12T04:56:40;2020-11-12T20:48:07;N;innovative programming Montana;40088
9;2020-11-13T02:26:37;2020-11-12T07:01:43;N;Bedfordshire Avon 6th generation;83219
10;2020-11-12T12:24:09;2020-11-12T07:19:57;C;Sleek Metal Mouse scale application;97512
